vi,ctrl,sx,sy,cx,cy,btns,value
1684,0,0,-113,0,0,0,000000ae
1690,0,0,-112,0,0,0,000000ae
1692,0,0,-111,0,0,0,000000ae
1696,0,0,-110,0,0,0,000000ae
1700,0,0,-109,0,0,0,000000ae
1704,0,0,-108,0,0,0,000000ae
1708,0,0,-107,0,0,0,000000ae
1712,0,0,-106,0,0,0,000000ae
1716,0,0,-105,0,0,0,000000ae
1720,0,0,-104,0,0,0,000000ae
1724,0,0,-103,0,0,0,000000ae
1729,0,0,-102,0,0,0,000000ae
1733,0,0,-101,0,0,0,000000ae
1737,0,0,-100,0,0,0,000000af
1740,0,0,-99,0,0,0,000000af
1745,0,0,-98,0,0,0,000000b0
1749,0,0,-97,0,0,0,000000b1
1753,0,0,-96,0,0,0,000000b2
1757,0,0,-95,0,0,0,000000b3
1760,0,0,-94,0,0,0,000000b4
1764,0,0,-93,0,0,0,000000b4
1768,0,0,-92,0,0,0,000000b5
1772,0,0,-91,0,0,0,000000b6
1776,0,0,-90,0,0,0,000000b7
1781,0,0,-89,0,0,0,000000b8
1784,0,0,-88,0,0,0,000000b8
1788,0,0,-87,0,0,0,000000b9
1793,0,0,-86,0,0,0,000000ba
1797,0,0,-85,0,0,0,000000bb
1802,0,0,-84,0,0,0,000000bc
1804,0,0,-83,0,0,0,000000bc
1808,0,0,-82,0,0,0,000000bd
1812,0,0,-81,0,0,0,000000be
1816,0,0,-80,0,0,0,000000bf
1820,0,0,-79,0,0,0,000000c0
1825,0,0,-78,0,0,0,000000c1
1829,0,0,-77,0,0,0,000000c1
1833,0,0,-76,0,0,0,000000c2
1837,0,0,-75,0,0,0,000000c3
1841,0,0,-74,0,0,0,000000c4
1845,0,0,-73,0,0,0,000000c5
1849,0,0,-72,0,0,0,000000c5
1854,0,0,-71,0,0,0,000000c6
1856,0,0,-70,0,0,0,000000c7
1860,0,0,-69,0,0,0,000000c8
1864,0,0,-68,0,0,0,000000c9
1868,0,0,-67,0,0,0,000000c9
1872,0,0,-66,0,0,0,000000ca
1878,0,0,-65,0,0,0,000000cb
1880,0,0,-64,0,0,0,000000cc
1885,0,0,-63,0,0,0,000000cd
1889,0,0,-62,0,0,0,000000ce
1893,0,0,-61,0,0,0,000000ce
1897,0,0,-60,0,0,0,000000cf
1901,0,0,-59,0,0,0,000000d0
1906,0,0,-58,0,0,0,000000d1
1908,0,0,-57,0,0,0,000000d2
1912,0,0,-56,0,0,0,000000d2
1916,0,0,-55,0,0,0,000000d3
1920,0,0,-54,0,0,0,000000d4
1924,0,0,-53,0,0,0,000000d5
1929,0,0,-52,0,0,0,000000d6
1933,0,0,-51,0,0,0,000000d7
1937,0,0,-50,0,0,0,000000d7
1941,0,0,-49,0,0,0,000000d8
1945,0,0,-48,0,0,0,000000d9
1948,0,0,-47,0,0,0,000000da
1953,0,0,-46,0,0,0,000000db
1958,0,0,-45,0,0,0,000000db
1960,0,0,-44,0,0,0,000000dc
1964,0,0,-43,0,0,0,000000dd
1968,0,0,-42,0,0,0,000000de
1972,0,0,-41,0,0,0,000000df
1976,0,0,-40,0,0,0,000000df
1981,0,0,-39,0,0,0,000000e0
1986,0,0,-38,0,0,0,000000e1
1988,0,0,-37,0,0,0,000000e2
1993,0,0,-36,0,0,0,000000e3
1997,0,0,-35,0,0,0,000000e4
2000,0,0,-34,0,0,0,000000e4
2004,0,0,-33,0,0,0,000000e5
2009,0,0,-32,0,0,0,000000e6
2013,0,0,-31,0,0,0,000000e7
2017,0,0,-30,0,0,0,000000e8
2020,0,0,-29,0,0,0,000000e8
2024,0,0,-28,0,0,0,000000e9
2029,0,0,-27,0,0,0,000000ea
2033,0,0,-26,0,0,0,000000eb
2037,0,0,-25,0,0,0,000000ec
2042,0,0,-24,0,0,0,000000ec
2044,0,0,-23,0,0,0,000000ed
2048,0,0,-22,0,0,0,000000ee
2052,0,0,-21,0,0,0,000000ef
2056,0,0,-20,0,0,0,000000f0
2060,0,0,-19,0,0,0,000000f1
2064,0,0,-18,0,0,0,000000f1
2068,0,0,-17,0,0,0,000000f2
2073,0,0,-16,0,0,0,000000f3
2077,0,0,-15,0,0,0,000000f4
2081,0,0,-14,0,0,0,000000f5
2085,0,0,-13,0,0,0,000000f5
2089,0,0,-12,0,0,0,000000f6
2094,0,0,-11,0,0,0,000000f7
2096,0,0,-10,0,0,0,000000f8
2100,0,0,-9,0,0,0,000000f9
2104,0,0,-8,0,0,0,000000f9
2108,0,0,-7,0,0,0,000000fa
